job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,118,0.28832498233504494,3.5632860946843006,3.8516110770193457,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,119,0.28033895805207565,3.5399905982918627,3.820329556343938,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,120,0.28007482744158013,3.514551637796905,3.794626465238485,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,121,0.2849597293297877,3.4909709845706236,3.7759307139004115,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,122,0.2763330446692165,3.467075882230218,3.7434089268994346,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,123,0.279390548164828,3.444365622255746,3.723756170420574,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,124,0.2750883468760209,3.421784832956284,3.696873179832305,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,125,0.273986933411743,3.3992047318088727,3.6731916652206156,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,126,0.2745771830869528,3.3761698187101543,3.6507470017971073,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,127,0.27485063661115766,3.3515270510761757,3.6263776876873335,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,128,0.27035685169121887,3.331404595863162,3.601761447554381,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,129,0.27894023515843525,3.3110210963590876,3.589961331517523,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,130,0.2690647457821422,3.2901692555879984,3.5592340013701405,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,131,0.2733451890648405,3.269048252912957,3.5423934419777976,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,132,0.27481655027347907,3.250108598489461,3.5249251487629403,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,133,0.2761432946913475,3.2294442751041545,3.505587569795502,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,134,0.2758281333359345,3.2093749614212457,3.48520309475718,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,135,0.2732236049139965,3.190040656783449,3.4632642616974456,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,136,0.2662163705574122,3.1697773083927125,3.435993678950125,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,137,0.273824758748092,3.1499459420836815,3.4237707008317733,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,138,0.2786587993476926,3.13332989084439,3.4119886901920826,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,139,0.2609033652461538,3.11605052837706,3.3769538936232135,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,140,0.2669240417407739,3.096725482170976,3.36364952391175,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,141,0.26068856767326415,3.0766780108917415,3.3373665785650055,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,142,0.2611911215350019,3.061131966512973,3.3223230880479746,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,143,0.2578299954728882,3.0411957653723363,3.2990257608452245,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,144,0.26701730587912503,3.0250298699994724,3.2920471758785976,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,145,0.2697239246592524,3.0086300998456834,3.2783540245049356,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,146,0.27681929937969746,2.9930623973917774,3.269881696771475,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,147,0.2715958826305068,2.977155990839943,3.24875187347045,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,148,0.2670749313480636,2.961272657504232,3.2283475888522957,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,149,0.2620479482812334,2.9446436311081636,3.206691579389397,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,150,0.2664713822095865,2.927731825845448,3.1942032080550344,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,151,0.2637024605976839,2.9126036872309964,3.1763061478286803,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,152,0.25923463364639104,2.897078896836033,3.156313530482424,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,153,0.25862510490422264,2.882347795554972,3.1409729004591944,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,154,0.2516778440460723,2.866015900190421,3.117693744236493,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,155,0.25619981953122223,2.850309101380701,3.106508920911923,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,156,0.26630607221633973,2.8357659205207675,3.102071992737107,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,157,0.2529226119710668,2.8195775114879833,3.07250012345905,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,158,0.26155057086081246,2.806582273460749,3.0681328443215614,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,159,0.2515155293647376,2.7923339631144457,3.0438494924791835,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,160,0.25790273448171935,2.7790243304151248,3.0369270648968443,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,161,0.2572538712449216,2.7660330570354237,3.023286928280345,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,162,0.2577212333356681,2.7514254078855664,3.0091466412212347,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,163,0.2547486107688311,2.7384553111678973,2.9932039219367286,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,164,0.25745229310417844,2.7257793985717877,2.9832316916759662,mean_reciprocal_rank_filtered_with_test,
4d95d010,dbpedia50,distmult,0,train,negative_sampling,train,165,0.24886890499633713,2.7133939827051687,2.962262887701506,mean_reciprocal_rank_filtered_with_test,
